District,Month,Cases,Year
Trincomalee,2,3,2008
Vavuniya,2,0,2008
Ampara,3,0,2008
Anuradhapura,3,5,2008
Badulla,3,1,2008
Batticaloa,3,0,2008
Colombo,3,30,2008
Galle,3,29,2008
Gampaha,3,34,2008
Hambantota,3,10,2008
Jaffna,3,0,2008
Kalutara,3,40,2008
Kandy,3,17,2008
Kegalle,3,12,2008
Kilinochchi,3,0,2008
Kurunegala,3,8,2008
Mannar,3,0,2008
Matale,3,29,2008
Matara,3,46,2008
Monaragala,3,1,2008
Mullaitivu,3,0,2008
Nuwara Eliya,3,4,2008
Polonnaruwa,3,2,2008
Puttalam,3,0,2008
Ratnapura,3,11,2008
Trincomalee,3,3,2008
Vavuniya,3,0,2008
Ampara,4,1,2008
Anuradhapura,4,27,2008
Badulla,4,1,2008
Batticaloa,4,1,2008
Colombo,4,75,2008
Galle,4,47,2008
Gampaha,4,40,2008
Hambantota,4,15,2008
Jaffna,4,0,2008
Kalutara,4,51,2008
Kandy,4,26,2008
Kegalle,4,35,2008
Kilinochchi,4,0,2008
Kurunegala,4,13,2008
Mannar,4,0,2008
Matale,4,30,2008
Matara,4,48,2008
Monaragala,4,22,2008
Mullaitivu,4,0,2008
Nuwara Eliya,4,3,2008
Polonnaruwa,4,16,2008
Puttalam,4,1,2008
Ratnapura,4,11,2008
Trincomalee,4,1,2008
Vavuniya,4,1,2008
Ampara,5,4,2008
Anuradhapura,5,73,2008
Badulla,5,8,2008
Batticaloa,5,0,2008
Colombo,5,31,2008
Galle,5,35,2008
Gampaha,5,39,2008
Hambantota,5,5,2008
Jaffna,5,0,2008
Kalutara,5,30,2008
Kandy,5,73,2008
Kegalle,5,40,2008
Kilinochchi,5,1,2008
Kurunegala,5,56,2008
Mannar,5,0,2008
Matale,5,114,2008
Matara,5,35,2008
Monaragala,5,27,2008
Mullaitivu,5,0,2008
Nuwara Eliya,5,3,2008
Polonnaruwa,5,7,2008
Puttalam,5,3,2008
Ratnapura,5,17,2008
Trincomalee,5,4,2008
Vavuniya,5,2,2008
Ampara,6,0,2008
Anuradhapura,6,68,2008
Badulla,6,9,2008
Batticaloa,6,2,2008
Colombo,6,26,2008
Galle,6,17,2008
Gampaha,6,38,2008
Hambantota,6,12,2008
Jaffna,6,0,2008
Kalutara,6,87,2008
Kandy,6,83,2008
Kegalle,6,62,2008
Kilinochchi,6,0,2008
Kurunegala,6,47,2008
Mannar,6,0,2008
Matale,6,151,2008
Matara,6,18,2008
Monaragala,6,12,2008
Mullaitivu,6,0,2008
Nuwara Eliya,6,12,2008
Polonnaruwa,6,22,2008
Puttalam,6,14,2008
Ratnapura,6,17,2008
Trincomalee,6,11,2008
Vavuniya,6,0,2008
Ampara,7,1,2008
Anuradhapura,7,4,2008
Badulla,7,4,2008
Batticaloa,7,0,2008
Colombo,7,34,2008
Galle,7,22,2008
Gampaha,7,25,2008
Hambantota,7,4,2008
Jaffna,7,0,2008
Kalutara,7,43,2008
Kandy,7,37,2008
Kegalle,7,30,2008
Kilinochchi,7,0,2008
Kurunegala,7,13,2008
Mannar,7,0,2008
Matale,7,48,2008
Matara,7,20,2008
Monaragala,7,2,2008
Mullaitivu,7,0,2008
Nuwara Eliya,7,4,2008
Polonnaruwa,7,1,2008
Puttalam,7,5,2008
Ratnapura,7,7,2008
Trincomalee,7,4,2008
Vavuniya,7,1,2008
Ampara,8,0,2008
Anuradhapura,8,4,2008
Badulla,8,1,2008
Batticaloa,8,1,2008
Colombo,8,32,2008
Galle,8,23,2008
Gampaha,8,42,2008
Hambantota,8,4,2008
Jaffna,8,0,2008
Kalutara,8,29,2008
Kandy,8,29,2008
Kegalle,8,35,2008
Kilinochchi,8,0,2008
Kurunegala,8,76,2008
Mannar,8,0,2008
Matale,8,21,2008
Matara,8,21,2008
Monaragala,8,2,2008
Mullaitivu,8,0,2008
Nuwara Eliya,8,5,2008
Polonnaruwa,8,1,2008
Puttalam,8,7,2008
Ratnapura,8,7,2008
Trincomalee,8,0,2008
Vavuniya,8,0,2008
Ampara,9,3,2008
Anuradhapura,9,10,2008
Badulla,9,20,2008
Batticaloa,9,0,2008
Colombo,9,307,2008
Galle,9,54,2008
Gampaha,9,214,2008
Hambantota,9,11,2008
Jaffna,9,0,2008
Kalutara,9,103,2008
Kandy,9,25,2008
Kegalle,9,91,2008
Kilinochchi,9,0,2008
Kurunegala,9,244,2008
Mannar,9,0,2008
Matale,9,23,2008
Matara,9,111,2008
Monaragala,9,2,2008
Mullaitivu,9,0,2008
Nuwara Eliya,9,2,2008
Polonnaruwa,9,4,2008
Puttalam,9,16,2008
Ratnapura,9,12,2008
Trincomalee,9,2,2008
Vavuniya,9,0,2008
Ampara,10,1,2008
Anuradhapura,10,3,2008
Badulla,10,6,2008
Batticaloa,10,0,2008
Colombo,10,184,2008
Galle,10,53,2008
Gampaha,10,105,2008
Hambantota,10,9,2008
Jaffna,10,0,2008
Kalutara,10,81,2008
Kandy,10,67,2008
Kegalle,10,112,2008
Kilinochchi,10,0,2008
Kurunegala,10,52,2008
Mannar,10,0,2008
Matale,10,25,2008
Matara,10,56,2008
Monaragala,10,1,2008
Mullaitivu,10,0,2008
Nuwara Eliya,10,15,2008
Polonnaruwa,10,5,2008
Puttalam,10,10,2008
Ratnapura,10,22,2008
Trincomalee,10,0,2008
Vavuniya,10,0,2008
Ampara,11,0,2008
Anuradhapura,11,3,2008
Badulla,11,5,2008
Batticaloa,11,0,2008
Colombo,11,82,2008
Galle,11,32,2008
Gampaha,11,54,2008
Hambantota,11,14,2008
Jaffna,11,0,2008
Kalutara,11,40,2008
Kandy,11,41,2008
Kegalle,11,37,2008
Kilinochchi,11,0,2008
Kurunegala,11,46,2008
Mannar,11,0,2008
Matale,11,29,2008
Matara,11,24,2008
Monaragala,11,2,2008
Mullaitivu,11,0,2008
Nuwara Eliya,11,6,2008
Polonnaruwa,11,3,2008
Puttalam,11,4,2008
Ratnapura,11,58,2008
Trincomalee,11,0,2008
Vavuniya,11,0,2008
Ampara,12,1,2008
Anuradhapura,12,12,2008
Badulla,12,3,2008
Batticaloa,12,3,2008
Colombo,12,67,2008
Galle,12,30,2008
Gampaha,12,29,2008
Hambantota,12,28,2008
Jaffna,12,0,2008
Kalutara,12,61,2008
Kandy,12,44,2008
Kegalle,12,36,2008
Kilinochchi,12,0,2008
Kurunegala,12,43,2008
Mannar,12,0,2008
Matale,12,90,2008
Matara,12,31,2008
Monaragala,12,4,2008
Mullaitivu,12,0,2008
Nuwara Eliya,12,12,2008
Polonnaruwa,12,35,2008
Puttalam,12,0,2008
Ratnapura,12,17,2008
Trincomalee,12,3,2008
Vavuniya,12,1,2008
Ampara,1,2,2009
Anuradhapura,1,13,2009
Badulla,1,13,2009
Batticaloa,1,0,2009
Colombo,1,28,2009
Galle,1,21,2009
Gampaha,1,14,2009
Hambantota,1,6,2009
Jaffna,1,0,2009
Kalutara,1,12,2009
Kandy,1,29,2009
Kegalle,1,9,2009
Kilinochchi,1,0,2009
Kurunegala,1,12,2009
Mannar,1,0,2009
Matale,1,56,2009
Matara,1,17,2009
Monaragala,1,0,2009
Mullaitivu,1,0,2009
Nuwara Eliya,1,6,2009
Polonnaruwa,1,14,2009
Puttalam,1,5,2009
Ratnapura,1,4,2009
Trincomalee,1,0,2009
Vavuniya,1,2,2009
Ampara,2,3,2009
Anuradhapura,2,11,2009
Badulla,2,8,2009
Batticaloa,2,2,2009
Colombo,2,14,2009
Galle,2,15,2009
Gampaha,2,15,2009
Hambantota,2,4,2009
Jaffna,2,0,2009
Kalutara,2,9,2009
Kandy,2,10,2009
Kegalle,2,5,2009
Kilinochchi,2,0,2009
Kurunegala,2,9,2009
Mannar,2,0,2009
Matale,2,17,2009
Matara,2,16,2009
Monaragala,2,2,2009
Mullaitivu,2,0,2009
Nuwara Eliya,2,8,2009
Polonnaruwa,2,3,2009
Puttalam,2,2,2009
Ratnapura,2,7,2009
Trincomalee,2,0,2009
Vavuniya,2,0,2009
Ampara,3,1,2009
Anuradhapura,3,9,2009
Badulla,3,6,2009
Batticaloa,3,0,2009
Colombo,3,70,2009
Galle,3,14,2009
Gampaha,3,26,2009
Hambantota,3,4,2009
Jaffna,3,0,2009
Kalutara,3,25,2009
Kandy,3,18,2009
Kegalle,3,9,2009
Kilinochchi,3,0,2009
Kurunegala,3,5,2009
Mannar,3,0,2009
Matale,3,41,2009
Matara,3,21,2009
Monaragala,3,0,2009
Mullaitivu,3,0,2009
Nuwara Eliya,3,2,2009
Polonnaruwa,3,7,2009
Puttalam,3,26,2009
Ratnapura,3,7,2009
Trincomalee,3,0,2009
Vavuniya,3,0,2009
Ampara,4,0,2009
Anuradhapura,4,3,2009
Badulla,4,3,2009
Batticaloa,4,1,2009
Colombo,4,36,2009
Galle,4,10,2009
Gampaha,4,10,2009
Hambantota,4,10,2009
Jaffna,4,0,2009
Kalutara,4,13,2009
Kandy,4,13,2009
Kegalle,4,10,2009
Kilinochchi,4,0,2009
Kurunegala,4,6,2009
Mannar,4,0,2009
Matale,4,23,2009
Matara,4,8,2009
Monaragala,4,1,2009
Mullaitivu,4,0,2009
Nuwara Eliya,4,2,2009
Polonnaruwa,4,3,2009
Puttalam,4,3,2009
Ratnapura,4,4,2009
Trincomalee,4,0,2009
Vavuniya,4,0,2009
Ampara,5,0,2009
Anuradhapura,5,1,2009
Badulla,5,2,2009
Batticaloa,5,0,2009
Colombo,5,41,2009
Galle,5,16,2009
Gampaha,5,19,2009
Hambantota,5,13,2009
Jaffna,5,0,2009
Kalutara,5,15,2009
Kandy,5,14,2009
Kegalle,5,14,2009
Kilinochchi,5,0,2009
Kurunegala,5,5,2009
Mannar,5,0,2009
Matale,5,22,2009
Matara,5,8,2009
Monaragala,5,1,2009
Mullaitivu,5,0,2009
Nuwara Eliya,5,2,2009
Polonnaruwa,5,0,2009
Puttalam,5,2,2009
Ratnapura,5,12,2009
Trincomalee,5,1,2009
Vavuniya,5,0,2009
Ampara,6,0,2009
Anuradhapura,6,5,2009
Badulla,6,12,2009
