District,Month,Cases,Year,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm,MRiceArea,MRiceYield,SRiceArea,SRiceYield,Population,Households
Ratnapura,6,17,2008,2008-06,268.8,21.6795,28.9795,0.4776653,"12,025","3,305","11,331","3,556",1069515,270830
Trincomalee,6,11,2008,2008-06,29.0,25.719501,35.0195,0.18171667,"18,987","4,381","15,296","4,504",360546,86607
Vavuniya,6,0,2008,2008-06,28.4,24.661001,35.361,0.20504583,"6,422","3,587",,,172049,39695
Ampara,7,1,2008,2008-07,55.6,24.2005,34.200497,0.2461922,"64,490","4,864","60,168","4,927",620469,152158
Anuradhapura,7,4,2008,2008-07,55.3,23.727999,33.878,0.26019356,"72,717","4,311","49,133","4,396",829754,217008
Badulla,7,4,2008,2008-07,62.6,19.361,31.611,0.3478078,"25,331","4,094","12,746","4,605",797275,196510
Batticaloa,7,0,2008,2008-07,30.6,25.05,35.35,0.17605108,"19,134","3,661","17,728","3,943",505292,124192
Colombo,7,34,2008,2008-07,325.2,22.811,29.661001,0.4093965,"3,767","3,502","3,832","3,172",2307572,540033
Galle,7,22,2008,2008-07,206.7,24.0325,29.1325,0.4819113,"14,679","3,190","14,130","3,027",1052224,258326
Gampaha,7,25,2008,2008-07,305.6,22.374,29.974,0.4785645,"9,360","3,495","7,501","3,243",2262655,572615
Hambantota,7,4,2008,2008-07,30.3,24.802,32.702,0.18053226,"24,234","4,762","24,500","4,725",577799,146693
Jaffna,7,0,2008,2008-07,34.100002,25.774,31.174002,0.1902715,"7,566","2,887",,,580303,129794
Kalutara,7,43,2008,2008-07,325.2,23.487,29.387,0.4795538,"13,476","2,884","12,368","2,743",1195216,287087
Kandy,7,37,2008,2008-07,27.7,20.172,29.022001,0.39265323,"13,476","3,764","11,629","3,895",1347697,327546
Kegalle,7,30,2008,2008-07,219.5,20.9825,29.0825,0.48143548,"7,486","3,749","7,431","3,323",830934,211538
Kilinochchi,7,0,2008,2008-07,18.6,25.5655,34.6655,0.17888172,"14,650","2,803",,,106687,24831
Kurunegala,7,13,2008,2008-07,174.2,22.077501,30.4775,0.45064786,"75,351","3,838","68,912","3,148",1571439,416781
Mannar,7,0,2008,2008-07,27.300001,25.963001,31.713001,0.16659273,"4,894","3,640",,,92608,19391
Matale,7,48,2008,2008-07,94.6,22.025501,31.375502,0.28186962,"19,119","3,559","11,960","3,784",471188,121367
Matara,7,20,2008,2008-07,206.7,23.8975,29.2975,0.48388574,"14,865","3,887","15,975","3,755",806253,195691
Monaragala,7,2,2008,2008-07,84.7,21.611,33.911,0.3250551,"25,827","3,993","13,716","4,272",428100,111097
Mullaitivu,7,0,2008,2008-07,50.4,25.502,34.851997,0.18242608,"6,596","3,430",,,83887,22093
Nuwara Eliya,7,4,2008,2008-07,200.9,14.814,22.113998,0.47285482,"5,627","3,929","2,087","3,688",707156,170844
Polonnaruwa,7,1,2008,2008-07,21.9,25.2435,36.5935,0.20765994,"55,529","4,900","54,481","4,971",393145,104787
Puttalam,7,5,2008,2008-07,140.7,24.5695,30.0695,0.31465995,"12,284","3,834","14,484","3,746",744467,192654
Ratnapura,7,7,2008,2008-07,304.0,21.4795,29.079498,0.48259947,"12,025","3,305","11,331","3,556",1069515,270830
Trincomalee,7,4,2008,2008-07,24.7,25.1695,34.9695,0.17112365,"18,987","4,381","15,296","4,504",360546,86607
Vavuniya,7,1,2008,2008-07,53.3,24.411001,35.260998,0.22140859,"6,422","3,587",,,172049,39695
Ampara,8,0,2008,2008-08,117.299995,23.7505,34.8505,0.26680374,"64,490","4,864","60,168","4,927",620469,152158
Anuradhapura,8,4,2008,2008-08,94.399994,23.127998,33.528,0.28103092,"72,717","4,311","49,133","4,396",829754,217008
Badulla,8,1,2008,2008-08,154.3,18.661001,31.761,0.36438304,"25,331","4,094","12,746","4,605",797275,196510
Batticaloa,8,1,2008,2008-08,87.2,24.15,35.7,0.20240457,"19,134","3,661","17,728","3,943",505292,124192
Colombo,8,32,2008,2008-08,258.4,23.511,28.861,0.40390322,"3,767","3,502","3,832","3,172",2307572,540033
Galle,8,23,2008,2008-08,171.0,23.832499,28.332499,0.47878897,"14,679","3,190","14,130","3,027",1052224,258326
Gampaha,8,42,2008,2008-08,252.40001,23.374,29.024,0.48140055,"9,360","3,495","7,501","3,243",2262655,572615
Hambantota,8,4,2008,2008-08,63.1,24.052,32.452,0.17556317,"24,234","4,762","24,500","4,725",577799,146693
Jaffna,8,0,2008,2008-08,59.8,24.874,31.324001,0.20008737,"7,566","2,887",,,580303,129794
Kalutara,8,29,2008,2008-08,258.4,23.437,28.737,0.48373386,"13,476","2,884","12,368","2,743",1195216,287087
Kandy,8,29,2008,2008-08,80.3,19.772001,28.672,0.3789704,"13,476","3,764","11,629","3,895",1347697,327546
Kegalle,8,35,2008,2008-08,191.9,21.2825,28.0825,0.4748387,"7,486","3,749","7,431","3,323",830934,211538
Kilinochchi,8,0,2008,2008-08,34.399998,24.6655,34.6655,0.18445565,"14,650","2,803",,,106687,24831
Kurunegala,8,76,2008,2008-08,153.4,22.177502,29.827501,0.4437957,"75,351","3,838","68,912","3,148",1571439,416781
Mannar,8,0,2008,2008-08,54.7,24.263,31.663,0.17022581,"4,894","3,640",,,92608,19391
Matale,8,21,2008,2008-08,92.0,21.875502,31.1755,0.28831318,"19,119","3,559","11,960","3,784",471188,121367
