District,MRiceArea,MRiceYield,Year,SRiceArea,SRiceYield
Colombo,"3,657",3402,2024,"1,579",1975
Gampaha,"10,634",3159,2024,"6,017",2831
Kalutara,"11,547",3032,2024,"5,965",2694
Kandy,"12,821",3836,2024,"8,846",2859
Matale,"18,876",4333,2024,"10,669",4500
Nuwara Eliya,"4,527",4238,2024,"2,132",3905
Galle,"7,014",2993,2024,"3,859",2602
Matara,"10,376",3158,2024,"10,649",2936
Hambantota,"36,527",5668,2024,"35,253",5381
Jaffna,"11,362",2691,2024,-,-
Mannar,"27,982",4327,2024,"2,980",2184
Vavuniya,"23,412",3878,2024,"5,516",4175
Mullaitivu,"25,642",3009,2024,"8,222",4198
Kilinochchi,"27,861",2005,2024,"9,209",4339
Batticaloa,"71,539",2410,2024,"33,652",3589
Ampara,"81,373",3933,2024,"63,165",5532
Trincomalee,"48,483",3409,2024,"28,773",5053
Kurunegala,"75,307",3592,2024,"57,102",3708
Puttalam,"20,652",3843,2024,"16,094",3609
Anuradhapura,"125,501",4637,2024,"61,699",4863
Polonnaruwa,"69,983",4697,2024,"66,614",5716
Badulla,"26,056",4494,2024,"12,193",4992
Monaragala,"36,485",4142,2024,"16,459",4334
Ratnapura,"12,930",4301,2024,"10,331",4566
Kegalle,"6,126",3622,2024,"4,338",2884
