District,Month,Cases,Year,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm,MRiceArea,MRiceYield,SRiceArea,SRiceYield,Population,Households,mean_temp,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Hambantota,7,37,2021,2021-07,38.600002,24.869501,34.2695,0.17996237,"34,912",5883,"34,490",5814,652777,179112,29.5695005,28.62366708333333,10.066666499999998,70.3962741535856,111.70594260664272,36.5195,22.219501,14.299999,27.519500166666663,29.777833500000003,29.861167,27.236167,1134.80001,235.8,23.6,70.50178873386567,538.7000049999999,124.30000199999999,161.500002,326.500005
Hambantota,8,24,2021,2021-08,53.3,24.0695,33.8695,0.14576612,"34,912",5883,"34,490",5814,652777,179112,28.969500000000004,28.62366708333333,10.066666499999998,70.3962741535856,111.70594260664272,36.5195,22.219501,14.299999,27.519500166666663,29.777833500000003,29.861167,27.236167,1134.80001,235.8,23.6,70.50178873386567,538.7000049999999,124.30000199999999,161.500002,326.500005
Hambantota,9,13,2021,2021-09,49.1,24.5695,34.0695,0.17941944,"34,912",5883,"34,490",5814,652777,179112,29.319499999999998,28.62366708333333,10.066666499999998,70.3962741535856,111.70594260664272,36.5195,22.219501,14.299999,27.519500166666663,29.777833500000003,29.861167,27.236167,1134.80001,235.8,23.6,70.50178873386567,538.7000049999999,124.30000199999999,161.500002,326.500005
Hambantota,10,16,2021,2021-10,145.5,23.469501,33.169502,0.24233602,"34,912",5883,"34,490",5814,652777,179112,28.3195015,28.62366708333333,10.066666499999998,70.3962741535856,111.70594260664272,36.5195,22.219501,14.299999,27.519500166666663,29.777833500000003,29.861167,27.236167,1134.80001,235.8,23.6,70.50178873386567,538.7000049999999,124.30000199999999,161.500002,326.500005
Hambantota,11,17,2021,2021-11,235.8,23.0195,33.4695,0.3191972,"34,912",5883,"34,490",5814,652777,179112,28.2445,28.62366708333333,10.066666499999998,70.3962741535856,111.70594260664272,36.5195,22.219501,14.299999,27.519500166666663,29.777833500000003,29.861167,27.236167,1134.80001,235.8,23.6,70.50178873386567,538.7000049999999,124.30000199999999,161.500002,326.500005
Hambantota,12,48,2021,2021-12,125.200005,22.869501,32.0695,0.2965484,"34,912",5883,"34,490",5814,652777,179112,27.4695005,28.62366708333333,10.066666499999998,70.3962741535856,111.70594260664272,36.5195,22.219501,14.299999,27.519500166666663,29.777833500000003,29.861167,27.236167,1134.80001,235.8,23.6,70.50178873386567,538.7000049999999,124.30000199999999,161.500002,326.500005
Hambantota,1,20,2022,2022-01,44.9,20.969501,32.169502,0.19667742,"36,104",3969,"33,031",4612,658933,181884,26.5695015,28.367417208333336,10.137499750000002,75.09259630315532,78.85152557324963,34.4695,20.969501,13.499998999999995,27.952833833333333,27.827834166666666,29.002833999999996,27.227834166666668,1129.80001,215.40001,34.3,63.44796874621002,514.00001,158.5,280.1,456.80001
Hambantota,2,13,2022,2022-02,43.5,22.869501,33.5695,0.18138394,"36,104",3969,"33,031",4612,658933,181884,28.2195005,28.367417208333336,10.137499750000002,75.09259630315532,78.85152557324963,34.4695,20.969501,13.499998999999995,27.952833833333333,27.827834166666666,29.002833999999996,27.227834166666668,1129.80001,215.40001,34.3,63.44796874621002,514.00001,158.5,280.1,456.80001
Hambantota,3,18,2022,2022-03,70.1,23.619501,33.7695,0.20002419,"36,104",3969,"33,031",4612,658933,181884,28.6945005,28.367417208333336,10.137499750000002,75.09259630315532,78.85152557324963,34.4695,20.969501,13.499998999999995,27.952833833333333,27.827834166666666,29.002833999999996,27.227834166666668,1129.80001,215.40001,34.3,63.44796874621002,514.00001,158.5,280.1,456.80001
Hambantota,4,13,2022,2022-04,80.7,23.7695,33.5195,0.24595694,"36,104",3969,"33,031",4612,658933,181884,28.6445,28.367417208333336,10.137499750000002,75.09259630315532,78.85152557324963,34.4695,20.969501,13.499998999999995,27.952833833333333,27.827834166666666,29.002833999999996,27.227834166666668,1129.80001,215.40001,34.3,63.44796874621002,514.00001,158.5,280.1,456.80001
Hambantota,5,16,2022,2022-05,122.7,23.719501,34.2195,0.24567205,"36,104",3969,"33,031",4612,658933,181884,28.9695005,28.367417208333336,10.137499750000002,75.09259630315532,78.85152557324963,34.4695,20.969501,13.499998999999995,27.952833833333333,27.827834166666666,29.002833999999996,27.227834166666668,1129.80001,215.40001,34.3,63.44796874621002,514.00001,158.5,280.1,456.80001
Hambantota,6,31,2022,2022-06,44.3,24.4195,33.169502,0.22491248,"36,104",3969,"33,031",4612,658933,181884,28.794501,28.367417208333336,10.137499750000002,75.09259630315532,78.85152557324963,34.4695,20.969501,13.499998999999995,27.952833833333333,27.827834166666666,29.002833999999996,27.227834166666668,1129.80001,215.40001,34.3,63.44796874621002,514.00001,158.5,280.1,456.80001
