District,MRiceArea,MRiceYield,Year,SRiceArea,SRiceYield
UDA WALAWE,"12,224",5907,2016,,
MAHAWELI 'H',"24,037",6284,2016,,
COLOMBO,"2,242",3437,2017,946,2720
GAMPAHA,"7,932",3340,2017,"2,728",2672
KALUTARA,"8,838",3565,2017,"5,785",3228
KANDY,"8,560",4377,2017,"6,277",4162
MATALE,"9,349",4523,2017,"5,457",4277
NUWARAELIYA,"4,322",3897,2017,"1,142",3619
GALLE,"8,118",3543,2017,"4,919",2448
MATARA,"11,579",4584,2017,"11,921",3491
HAMBANTOTA,"22,011",5253,2017,"20,967",5348
JAFFNA,"10,049",2021,2017,_,_
MANNAR,"14,565",4242,2017,101,2839
VAVUNIYA,"11,015",4334,2017,487,4361
MULATIVU,"15,662",2957,2017,934,3209
KILLINOCHCHI,"24,956",3983,2017,"1,429",4006
BATTICALOA,"62,836",2516,2017,"24,211",3431
AMPARA,"81,458",4785,2017,"46,302",4251
TRINCOMALEE,"29,236",4356,2017,"8,977",4843
KURUNEGALA,"46,788",4540,2017,"15,824",3940
PUTTALAM,"11,536",3625,2017,"2,463",4024
ANURADHAPURA,"37,853",4608,2017,"8,525",3909
POLONNARUWA,"49,621",5080,2017,,
BADULLA,"19,793",4401,2017,"8,668",4434
MONARAGALA,"25,680",3922,2017,"9,900",4502
RATNAPURA,"7,955",3697,2017,"6,070",3267
KEGALLE,"3,691",3996,2017,"1,676",2871
UDA WALAWE,"1,206",5085,2017,,
MAHAWELI 'H',"5,705",5241,2017,,
COLOMBO,"3,183","3,458",2018,"1,175",3259
GAMPAHA,"10,648","3,782",2018,"6,163",3210
KALUTARA,"11,084","3,349",2018,"6,178",3034
KANDY,"11,035","3,851",2018,"6,389",4197
MATALE,"16,880","4,690",2018,"7,967",4561
NUWARAELIYA,"4,705","3,417",2018,"2,522",4041
GALLE,"10,775","2,986",2018,"3,945",3204
MATARA,"13,488","3,808",2018,"12,223",3866
HAMBANTOTA,"34,695","5,773",2018,"24,771",6252
JAFFNA,"10,424","2,055",2018,-,-
MANNAR,"19,405","4,487",2018,479,4777
VAVUNIYA,"12,905","4,223",2018,450,4029
MULATIVU,"19,785","3,963",2018,"1,635",4151
KILLINOCHCHI,"26,760","4,213",2018,948,4773
BATTICALOA,"64,796","3,100",2018,"25,655",4104
AMPARA,"81,293","4,562",2018,"44,262",4840
TRINCOMALEE,"38,952","4,083",2018,"20,353",4994
KURUNEGALA,"47,616","4,418",2018,"50,261",3899
PUTTALAM,"5,880","4,163",2018,"13,001",4524
ANURADHAPURA,"59,558","4,414",2018,"21,241",5262
POLONNARUWA,"65,403","4,848",2018,"61,559",5070
BADULLA,"20,252","4,340",2018,"10,810",4673
MONARAGALA,"36,373","4,123",2018,"12,820",3684
RATNAPURA,"10,000","3,519",2018,"7,293",4042
KEGALLE,"5,793","4,372",2018,"4,663",3124
UDA WALAWE,"10,492","6,355",2018,,
MAHAWELI 'H',"15,011","5,645",2018,,
COLOMBO,"3,232","3,509",2019,892,3064
GAMPAHA,"10,344","3,717",2019,"5,500",3250
KALUTARA,"10,297","3,642",2019,"5,076",2857
KANDY,"11,112","4,289",2019,"5,858",3399
MATALE,"19,115","5,260",2019,"4,621",5259
NUWARAELIYA,"4,660","4,998",2019,"1,487",2715
GALLE,"8,313","3,247",2019,"3,333",3012
MATARA,"12,950","4,160",2019,"11,306",3240
HAMBANTOTA,"34,164","6,622",2019,"32,702",5726
JAFFNA,"10,588","4,224",2019,-,-
MANNAR,"19,267","5,112",2019,925,5514
VAVUNIYA,"19,207","5,594",2019,"2,364",5363
MULATIVU,"16,617","4,915",2019,"5,294",5081
KILLINOCHCHI,"26,765","3,599",2019,"9,581",5183
BATTICALOA,"67,214","3,206",2019,"27,444",3683
AMPARA,"79,982","5,030",2019,"56,055",5377
TRINCOMALEE,"38,587","4,241",2019,"18,375",4978
KURUNEGALA,"80,370","4,711",2019,"39,148",4015
PUTTALAM,"20,681","4,584",2019,"8,460",4479
ANURADHAPURA,"109,813","5,414",2019,"33,412",5119
POLONNARUWA,"65,970","5,075",2019,"61,624",5511
BADULLA,"25,670","4,708",2019,"11,270",5120
MONARAGALA,"36,044","4,911",2019,"14,146",5122
RATNAPURA,"11,175","4,688",2019,"7,349",4834
KEGALLE,"5,890","4,721",2019,"2,684",2882
COLOMBO,"2,864","3,521",2020,"3,219",3281
GAMPAHA,"9,714","4,240",2020,"10,444",3445
KALUTARA,"9,556","3,641",2020,"11,653",3380
KANDY,"11,004","4,422",2020,"8,837",4099
MATALE,"18,458","5,316",2020,"8,221",5034
NUWARAELIYA,"1,735","3,608",2020,"4,406",4512
GALLE,"7,949","3,980",2020,"11,551",2837
MATARA,"11,746","3,886",2020,"13,913",3573
HAMBANTOTA,"34,978","6,302",2020,"34,167",5986
JAFFNA,"10,445","3,628",2020,-,-
MANNAR,"19,367","4,827",2020,"1,610",5372
VAVUNIYA,"19,241","4,951",2020,"1,473",5520
MULATIVU,"18,259","4,644",2020,"5,461",5147
KILLINOCHCHI,"27,165","4,158",2020,"10,034",5250
BATTICALOA,"66,996","3,783",2020,"28,955",4582
AMPARA,"79,417","4,764",2020,"61,295",5003
TRINCOMALEE,"38,285","4,375",2020,"22,112",5268
KURUNEGALA,"82,478","4,732",2020,"58,127",4397
PUTTALAM,"20,564","4,652",2020,"15,182",4343
ANURADHAPURA,"118,902","5,574",2020,"39,334",4936
POLONNARUWA,"67,016","5,404",2020,"62,373",5244
BADULLA,"25,641","4,405",2020,"11,663",4973
MONARAGALA,"34,356","4,796",2020,"14,400",4922
RATNAPURA,"10,756","5,097",2020,"11,462",4403
KEGALLE,"5,356","4,558",2020,"6,314",3731
COLOMBO,"3,857",3723,2021,"2,521",2455
GAMPAHA,"12,450",3751,2021,"9,954",2991
KALUTARA,"13,019",3358,2021,"9,766",3048
KANDY,"12,186",4720,2021,"9,278",2945
MATALE,"18,908",5669,2021,"12,343",4639
NUWARAELIYA,"4,877",5020,2021,"2,573",3917
GALLE,"13,511",3403,2021,"8,548",2897
MATARA,"14,114",3585,2021,"14,082",3727
HAMBANTOTA,"34,912",5883,2021,"34,490",5814
JAFFNA,"11,228",2549,2021,-,-
MANNAR,"20,242",5228,2021,"2,740",4931
VAVUNIYA,"19,376",4253,2021,"5,012",5638
MULATIVU,"22,781",4266,2021,"7,383",5287
KILLINOCHCHI,"27,358",3500,2021,"10,071",4620
BATTICALOA,"67,074",3809,2021,"28,502",4665
AMPARA,"81,149",4780,2021,"62,860",5229
TRINCOMALEE,"39,838",4250,2021,"25,239",5267
KURUNEGALA,"76,057",3775,2021,"68,573",4024
PUTTALAM,"19,654",3746,2021,"18,602",3950
ANURADHAPURA,"112,549",5098,2021,"62,104",4691
POLONNARUWA,"66,523",5220,2021,"62,626",5441
BADULLA,"23,568",4859,2021,"12,098",5088
MONARAGALA,"34,900",4599,2021,"15,852",5034
RATNAPURA,"13,358",4465,2021,"10,773",4119
KEGALLE,"6,751",4163,2021,"5,477",2991
COLOMBO,"3,830",2521,2022,"2,880",2207
GAMPAHA,"11,511",2842,2022,"9,850",2493
KALUTARA,"11,939","2,563",2022,"10,765",2330
KANDY,"12,211",3235,2022,"10,090",3227
MATALE,"19,992",3339,2022,"12,716",2768
NUWARAELIYA,"5,044","3,922",2022,"2,873",3704
GALLE,"11,235",2514,2022,"10,615",2194
MATARA,"13,685",2764,2022,"13,321",2730
HAMBANTOTA,"36,104",3969,2022,"33,031",4612
JAFFNA,"11,127",2176,2022,-,-
MANNAR,"20,466",2662,2022,"2,275",3425
VAVUNIYA,"18,859",2373,2022,"5,485",4368
MULATIVU,"19,990",2305,2022,"6,891",3558
KILLINOCHCHI,"27,403",2485,2022,"10,333",2945
BATTICALOA,"66,520",1639,2022,"28,696",2950
AMPARA,"82,442",2857,2022,"62,686",3708
TRINCOMALEE,"39,650",2662,2022,"24,491",4026
KURUNEGALA,"81,454",3229,2022,"56,830",2775
PUTTALAM,"20,930",2415,2022,"13,408",2755
ANURADHAPURA,"116,969",2873,2022,"59,918",3248
POLONNARUWA,"66,536",3103,2022,"58,636",4288
BADULLA,"24,195",3027,2022,"12,594",3349
MONARAGALA,"34,361",2987,2022,"15,571",3414
RATNAPURA,"13,092",3365,2022,"11,610",3356
KEGALLE,"6,301",3499,2022,"6,104",2548
COLOMBO,"4,215",2855,2023,"2,218",2371
GAMPAHA,"12,348",3453,2023,"8,660",2557
KALUTARA,"13,148",2735,2023,"9,132",2487
KANDY,"13,178",3610,2023,"9,900",3762
MATALE,"20,274",4218,2023,"11,757",3976
NUWARAELIYA,"4,960",3905,2023,"2,439",4119
GALLE,"12,319",2532,2023,"5,683",2169
MATARA,"14,567",3406,2023,"12,972",2999
HAMBANTOTA,"37,347",5468,2023,"34,947",5087
JAFFNA,"11,408",2889,2023,-,-
MANNAR,"22,117",3497,2023,"2,374",4826
VAVUNIYA,"23,503",2861,2023,"5,703",4071
MULATIVU,"25,652",3152,2023,"5,752",4418
KILLINOCHCHI,"27,883",3258,2023,"6,882",3988
BATTICALOA,"71,433",3088,2023,"33,566",3557
AMPARA,"80,553",4172,2023,"63,184",4338
TRINCOMALEE,"48,603",3138,2023,"28,649",4771
KURUNEGALA,"78,253",3760,2023,"65,288",3447
PUTTALAM,"19,369",3570,2023,"17,672",3810
ANURADHAPURA,"118,818",3849,2023,"65,524",4302
POLONNARUWA,"69,487",4416,2023,"66,033",4918
BADULLA,"25,766",3662,2023,"13,199",4554
MONARAGALA,"35,628",4003,2023,"16,561",4026
RATNAPURA,"14,641",3761,2023,"10,487",4195
KEGALLE,"7,131",3581,2023,"6,494",2974
COLOMBO,"3,657",3402,2024,"1,579",1975
GAMPAHA,"10,634",3159,2024,"6,017",2831
KALUTARA,"11,547",3032,2024,"5,965",2694
KANDY,"12,821",3836,2024,"8,846",2859
MATALE,"18,876",4333,2024,"10,669",4500
NUWARAELIYA,"4,527",4238,2024,"2,132",3905
GALLE,"7,014",2993,2024,"3,859",2602
MATARA,"10,376",3158,2024,"10,649",2936
HAMBANTOTA,"36,527",5668,2024,"35,253",5381
JAFFNA,"11,362",2691,2024,-,-
MANNAR,"27,982",4327,2024,"2,980",2184
VAVUNIYA,"23,412",3878,2024,"5,516",4175
MULATIVU,"25,642",3009,2024,"8,222",4198
KILLINOCHCHI,"27,861",2005,2024,"9,209",4339
BATTICALOA,"71,539",2410,2024,"33,652",3589
AMPARA,"81,373",3933,2024,"63,165",5532
TRINCOMALEE,"48,483",3409,2024,"28,773",5053
KURUNEGALA,"75,307",3592,2024,"57,102",3708
PUTTALAM,"20,652",3843,2024,"16,094",3609
ANURADHAPURA,"125,501",4637,2024,"61,699",4863
POLONNARUWA,"69,983",4697,2024,"66,614",5716
BADULLA,"26,056",4494,2024,"12,193",4992
MONARAGALA,"36,485",4142,2024,"16,459",4334
RATNAPURA,"12,930",4301,2024,"10,331",4566
KEGALLE,"6,126",3622,2024,"4,338",2884
